"Organization","Country","TIC_Code","Domain"
"Central Bank of Egypt","Egypt","50719","cbe.org.eg"
"South African Reserve Bank","South Africa","55719","resbank.co.za"
"Central Bank of Nigeria","Nigeria","53403","cbn.gov.ng"
"Bank of Algeria","Algeria","50107","bank-of-algeria.dz"
"Central Bank of Kenya","Kenya","52605","centralbank.go.ke"
"Reserve Bank of Australia","Australia","60089","rba.gov.au"
"Bank of Japan","Japan","42609","boj.or.jp"
"People’s Bank of China","China","41404","pbc.gov.cn"
"Reserve Bank of India","India","40807","rbi.org.in"
"Bank of Korea","South Korea","43001","bok.or.kr"
"Monetary Authority of Singapore","Singapore","44902","mas.gov.sg"
"Central Bank of the Philippines","Philippines","44306","bsp.gov.ph"
"Bank of England","United Kingdom","12409","bankofengland.co.uk"
"European Central Bank","European Regional Organizations","73903","ecb.europa.eu"
"Deutsche Bundesbank","Germany","11402","bundesbank.de"
"Banque de France","France","11002","banque-france.fr"
"Central Bank of Ireland","Ireland","10808","centralbank.ie"
"Banca d’Italia","Italy","11207","bancaditalia.it"
"Sveriges Riksbank","Sweden","12301","riksbank.se"
"Swiss National Bank","Switzerland","12204","snb.ch"
"Central Bank of Argentina","Argentina","30104","bcra.gob.ar"
"Central Bank of Brazil","Brazil","30309","bcb.gov.br"
"Bank of Mexico","Mexico","31708","banxico.org.mx"
"Central Bank of the Bahamas","Bahamas","35319","centralbankbahamas.com"
"Central Bank of Chile","Chile","30503","bcentral.cl"
"Saudi Central Bank","Saudi Arabia","45607","sama.gov.sa"
"Central Bank of the UAE","United Arab Emirates","46107","centralbank.ae"
"Central Bank of Israel","Israel","42102","boi.org.il"
"Qatar Central Bank","Qatar","45402","qcb.gov.qa"
"Bank of Canada","Canada","29998","bankofcanada.ca"
"International Monetary Fund","International Organizations","72907","imf.org"
"World Bank","International Organizations","72907","worldbank.org"
"Bank for International Settlements","International Organizations","72907","bis.org"
"Asian Development Bank","Asian Regional Organizations","74906","adb.org"
"African Development Bank","African Regional Organizations","79903","afdb.org"
